,number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_gamma,params_lr,params_lr_schedule,params_n_steps,params_net_arch,params_vf_coef,state
0,0,4.28266899944421,2021-04-21 14:39:07.848426,2021-04-21 14:59:40.553039,0 days 00:20:32.704613,0.0011077882133718813,0.9,0.2738431370607128,constant,256,32x32,0.18830690243267145,COMPLETE
1,1,4.713301225593023,2021-04-21 14:59:40.600398,2021-04-21 15:20:46.962720,0 days 00:21:06.362322,0.005724176950288517,0.99,0.30045030173891546,constant,8,32x32,0.0074429954722439184,COMPLETE
2,2,5.6067394912813215,2021-04-21 15:20:46.991091,2021-04-21 15:40:10.804100,0 days 00:19:23.813009,0.00017473077433136162,0.95,0.032447605936891416,constant,2048,32x32,0.7002570153254104,COMPLETE
3,3,5.560738757951341,2021-04-21 15:40:10.833177,2021-04-21 16:00:52.142587,0 days 00:20:41.309410,0.01410747637345422,0.999,0.0056143246594822825,constant,1024,16x16,0.9299625696662314,COMPLETE
4,4,5.240363884194072,2021-04-21 16:00:52.173996,2021-04-21 16:21:52.830345,0 days 00:21:00.656349,0.0009629521372509569,0.98,3.0599239805643756e-05,constant,8,32x32,0.8371536045702264,COMPLETE
5,5,5.681384930320344,2021-04-21 16:21:52.857292,2021-04-21 16:42:39.685259,0 days 00:20:46.827967,5.521877009099191e-08,0.9,0.5209273126140767,linear,256,8x8,0.12906797596190195,COMPLETE
6,6,5.523663869481912,2021-04-21 16:42:39.714191,2021-04-21 17:03:28.642564,0 days 00:20:48.928373,1.2195758688178904e-06,0.995,3.665735181830807e-05,linear,512,32x32,0.3272480800052693,COMPLETE
7,7,5.470763104113146,2021-04-21 17:03:28.671237,2021-04-21 17:24:08.690265,0 days 00:20:40.019028,9.153915447277823e-06,0.9999,0.0006025856273182387,constant,64,16x16,0.38232805766330713,COMPLETE
8,8,5.473233203067857,2021-04-21 17:24:08.718059,2021-04-21 17:45:17.641868,0 days 00:21:08.923809,0.07708551492176355,0.9,0.8569813113712718,constant,16,8x8,0.14453580513544723,COMPLETE
9,9,5.5804216846046675,2021-04-21 17:45:17.672287,2021-04-21 18:05:53.709394,0 days 00:20:36.037107,3.4798913217455345e-05,0.9,0.06571539989972494,linear,128,32x32,0.5612778424041028,COMPLETE
10,10,5.5117596100308255,2021-04-21 18:05:53.737733,2021-04-21 18:26:34.312566,0 days 00:20:40.574833,2.561520053790793e-08,0.98,0.0011291093130948193,constant,32,16x16,0.21512219170025992,COMPLETE
11,11,5.569951641674307,2021-04-21 18:26:34.341167,2021-04-21 18:46:56.320896,0 days 00:20:21.979729,0.003839930437857544,0.99,0.17170519969637685,constant,256,32x32,0.01829504546903931,COMPLETE
12,12,5.32156994598266,2021-04-21 18:46:56.366154,2021-04-21 19:08:00.822033,0 days 00:21:04.455879,0.0683743211457091,0.99,0.013036759590305657,constant,8,32x32,0.022187491784114964,COMPLETE
13,13,4.517939179758873,2021-04-21 19:08:00.851614,2021-04-21 19:28:40.272721,0 days 00:20:39.421107,0.000733963941836604,0.99,0.910078231593416,constant,8,32x32,0.0012647304062050335,COMPLETE
14,14,5.476211227193692,2021-04-21 19:28:40.300697,2021-04-21 19:49:19.091363,0 days 00:20:38.790666,0.0004215620448517155,0.9,0.9794657711783956,constant,256,32x32,0.30148825879288066,COMPLETE
